Title,Text,
CÁC NGÀNH ĐÀO TẠO CỦA ĐẠI HỌC ĐÔNG Á,"các ngành đạo Đại học bao gồm:

- Y KHOA mã ngành 7720101 tổ hợp xét tuyển A00, B00, D07, D90
- DƯỢC HỌC mã ngành 7720101 tổ hợp xét tuyển A00, B00, D07, D90
- ĐIỀU DƯỠNG mã ngành 7720301 tổ hợp xét tuyển A00, B00, B08, D90
- HỘ SINH mã ngành 7720302 tổ hợp xét tuyển A00, B00, B08, D90
- DINH DƯỠNG mã ngành 7720401 tổ hợp xét tuyển A00, B00, B08, D90
- GIÁO DỤC MẦM NON mã ngành 7140201 tổ hợp xét tuyển M01, M06, C00, D01
- GIÁO DỤC TIỂU HỌC mã ngành 7140202 tổ hợp xét tuyển A00, C00, D01, M06
- TÂM LÝ HỌC mã ngành 7310401 tổ hợp xét tuyển A00, B00, C00, D01
- QUẢN LÝ VĂN HÓA mã ngành 7229042 tổ hợp xét tuyển A00, C00, D01, D78
- QUẢN TRỊ KINH DOANH mã ngành 7340101 tổ hợp xét tuyển  A00, A01, C01, D01
- MARKETING mã ngành 7340115 tổ hợp xét tuyển A00, A01, C01, D01
- DIGITAL MARKETING mã ngành 7340115DA tổ hợp xét tuyển A00, A01, C01, D01
- KINH DOANH QUỐC TẾ mã ngành 7340120 tổ hợp xét tuyển A00, A01, C01, D01
- THƯƠNG MẠI ĐIỆN TỬ mã ngành 7340122 tổ hợp xét tuyển A00, A01, C01, D01
- KẾ TOÁN mã ngành 7340301 tổ hợp xét tuyển A00, A01, C01, D01
- TÀI CHÍNH NGÂN HÀNG mã ngành 7340201 tổ hợp xét tuyển A00, A01, C01, D01
- QUẢN TRỊ NHÂN LỰC mã ngành 7340404 tổ hợp xét tuyển A00, A01, C00, D01
- QUẢN TRỊ VĂN PHÒNG mã ngành 7340406 tổ hợp xét tuyển A00, A01, C00, D01
- TRUYỀN THÔNG ĐA PHƯƠNG TIỆN mã ngành 7320104 tổ hợp xét tuyển A00, A01, C01, D01
- LUẬT mã ngành 7380101 tổ hợp xét tuyển A00, C00, D01, D78
- LUẬT KINH TẾ mã ngành 7380107 tổ hợp xét tuyển A00, C00, D01, D90
- NGÔN NGỮ ANH mã ngành 7220201 tổ hợp xét tuyển A01; D01; D78; D90
- NGÔN NGỮ TRUNG QUỐC mã ngành 7220204 tổ hợp xét tuyển A01; D01; D04; D78
- NGÔN NGỮ NHẬT mã ngành 7220209 tổ hợp xét tuyển A01; D01; D06; D78
- NGÔN NGỮ HÀN QUỐC mã ngành 7220210 tổ hợp xét tuyển A01, D01, D02, D78
- QUẢN TRỊ KHÁCH SẠN mã ngành 7810201 tổ hợp xét tuyển A00, C00, D01, D10
- QUẢN TRỊ DV DU LỊCH VÀ LỮ HÀNH mã ngành 7810103 tổ hợp xét tuyển A00, C00, D01, D10
- QT NHÀ HÀNG VÀ DỊCH VỤ ĂN UỐNG mã ngành 7810202 tổ hợp xét tuyển A00, C00, D01, D10
- TRÍ TUỆ NHÂN TẠO mã ngành 7480112 tổ hợp xét tuyển A00, A01, C01, D01
- CÔNG NGHỆ THÔNG TIN mã ngành 7480201 tổ hợp xét tuyển A00, A01, D01, D90
- KỸ THUẬT MÁY TÍNH mã ngành 7480106 tổ hợp xét tuyển A00; A01; D01; D90
- THIẾT KẾ ĐỒ HỌA mã ngành 7480201 tổ hợp xét tuyển A00, A01, D01, D90
- CÔNG NGHỆ KỸ THUẬT Ô TÔ mã ngành 7510205 tổ hợp xét tuyển A00, A01, D01, D90
- CÔNG NGHỆ KT ĐIỆN - ĐIỆN TỬ mã ngành 7510301 tổ hợp xét tuyển A00, A01, D01, D90
- CNKT ĐIỀU KHIỂN VÀ TỰ ĐỘNG HÓA mã ngành 7510303 tổ hợp xét tuyển A00, A01, D01, D90
- CÔNG NGHỆ KỸ THUẬT XÂY DỰNG mã ngành 7510103 tổ hợp xét tuyển A00, A01, D01, D90
- LOGISTICS VÀ QUẢN LÝ CHUỖI CUNG ỨNG mã ngành 7510605 tổ hợp xét tuyển A00, A01, C15, D01
- CÔNG NGHỆ THỰC PHẨM mã ngành 7540101 tổ hợp xét tuyển A00, B00, B08, D01
- NÔNG NGHIỆP mã ngành 7620101 tổ hợp xét tuyển A00, B00, B08, D01
- QUAN HỆ QUỐC TẾ mã ngành 7310206 tổ hợp xét tuyển A00, C00, D01, D78
- THIẾT KẾ THỜI TRANG mã ngành 7340404 tổ hợp xét tuyển A00, D01, V00, V01",
các tổ hợp xét tuyển gồm những môn nào,"A00: Toán, Lý, Hóa | A01: Toán, Lý, Anh | A16: Toán, Văn, KHTN | B00: Toán, Hóa, Sinh | B08: Toán, Sinh, Anh | C00: Văn, Sử, Địa | C15: Văn, Toán, KHXH | D01: Toán, Văn, Anh | D04: Toán, Văn, T. Trung | D06: Toán, Văn, T. Nhật | D07: Toán, Hóa, Anh | D14: Văn, Sử, Anh | D78: Văn, KHXH, Anh | D90: Toán, KHTN, Anh | D96: Toán, KHTN, Anh| M01: Văn, NK1, NK2 | M02: Toán, KHXH, NK | M03: Văn, KHXH, NK | M06: Văn, Toán, NK
",
các ngành đào tạo,"Y khoa, Dược, Điều dưỡng, Dinh dưỡng, Kỹ thuật phục hồi chức năng, Tâm lý học, Quản lý văn hóa, Công nghệ thông tin, Kỹ thuật máy tính, Trí tuệ nhân tạo, Công nghệ kỹ thuật Ô tô, Công nghệ Kỹ thuật điện - Điện tử, CNKT Điều khiển và Tự động hóa, Công nghệ kỹ thuật Xây dựng, Công nghệ thực phẩm, Nông nghiệp - Nông nghiệp công nghệ cao, Logistics và quản lý chuỗi cung ứng, Ngôn ngữ Anh, Ngôn ngữ Trung Quốc, Ngôn ngữ Nhật, Ngôn ngữ Hàn Quốc, Thiết kế thời trang, Quan hệ quốc tế, Truyền thông đa phương tiện, Quản trị kinh doanh, Marketing, Digital Marketing, Kinh doanh quốc tế, Thương mại điện tử, Kế toán, Tài chính - Ngân hàng, Quản trị nhân lực, Quản trị văn phòng, Luật kinh tế, Luật, Quản trị khách sạn, Quản trị dv du lịch và lữ hành, Quản trị nhà hàng và dv ăn uống
",
mã ngành Y khoa,7720101,
mã ngành Dược,7720201,
mã ngành Điều dưỡng,7720301,
mã ngành Điều dưỡng,7720301DL,
mã ngành Hộ sinh,7720302,
mã ngành  Dinh dưỡng,7720401,
mã ngành  Kỹ thuật phục hồi chức năng,7720603,
mã ngành Tâm lý học,7310401,
mã ngành Quản lý văn hóa,7229042,
mã ngành Công nghệ thông tin,7480201,
mã ngành Công nghệ thông tin tại daklak,7480201DL,
mã ngành Kỹ thuật máy tính,7480106,
mã ngành Trí tuệ nhân tạo,7480107,
mã ngành Trí tuệ nhân tạo tại daklak,7480107DL,
mã ngành Công nghệ kỹ thuật Ô tô,7510205,
mã ngành Công nghệ kỹ thuật Ô tô tại daklak,7510205DL,
mã ngành Công nghệ Kỹ thuật điện - Điện tử,7510301,
mã ngành Công nghệ Kỹ thuật điện - Điện tử tại daklak,7510301DL,
mã ngành CNKT Điều khiển và Tự động hóa,7510303,
mã ngành CNKT Điều khiển và Tự động hóa tại daklak,7510303DL,
mã ngành Công nghệ kỹ thuật Xây dựng,7510103,
